title,isPartOf,pageCount,publicationYear,docSubType
ETHNOGRAPHY OF ONE FAMILY ON A 1939 BLACKFEET INDIAN RESERVATION FARM PROJECT IN MONTANA,Great Plains Quarterly,18,2013,research-article
TAKING CHILDREN'S INTERESTS SERIOUSLY,Nomos,9,2003,research-article
Ten Unmet Challenges of Public Health,The American Naturalist,3,1946,misc
"Edward Smith (?1818-1874) Physiologist, Human Ecologist, Reformer",Journal of the History of Medicine and Allied Sciences,33,1967,research-article
"Family Activity Patterns as related to the symmetry in the division of labour in the family, children's socialization to work and the significance of work to the parents",European Journal of Psychology of Education,17,1986,research-article
An Educational Philosophy For Drug Abuse Programs,The Science Teacher,3,1970,research-article
HISTORY IN THE STATE LIBRARY,New York History,4,1948,misc
INFORMATION RETRIEVAL CENTER ON RESEARCH IN THE BEHAVIORAL SCIENCES,Megamot / מגמות,10,1972,misc
Changing Behaviour in a Residential Group Setting for Elderly People with Learning Difficulties,The British Journal of Social Work,14,1993,research-article
A Report of the Starvation Commissioner,Indian Literature,25,2006,research-article
Review Article,American Ethnologist,2,2013,book-review
Implications of the TIAC Plan for the AASW Member with Particular Interests in One or More of the Specialties,Social Work Journal,2,1954,research-article
There Is No Straight Line,Education and Training of the Mentally Retarded,4,1977,misc
The Puzzle of Local Double Taxation: Why Do Private Community Associations Exist?,The Independent Review,21,2009,research-article
Social Treatment: A New-Old Helping Method,Social Work,13,1970,research-article
Managing risk and 'giving back': Aspiration among working-class Latino youth in Silicon Valley,Ethnography,25,2011,research-article
Integration: For and Against: The Case in Favour,Teaching Geography,3,1978,research-article
PERSONALITY AND THE PSYCHOSEXUAL ADJUSTMENT OF AFRO-BRAZILIAN CULT MEMBERS,Journal de la Société des américanistes,12,1969,research-article
Definitions of two primitive social states,Journal of the Washington Academy of Sciences,5,1912,research-article
שער קדמי,Megamot / מגמות,13,1983,misc
Decision-Making in Agent-Based Models of Migration: State of the Art and Challenges,European Journal of Population / Revue Européenne de Démographie,25,2016,research-article
"Germs Know No Color Line: Black Health and Public Policy in Atlanta, 1900—1918",Journal of the History of Medicine and Allied Sciences,20,1985,research-article
"Children's Perceptions and Definitions of Family in China, Ecuador, Turkey, and the United States",Journal of Comparative Family Studies,22,2013,research-article
Hispanics at the Starting Line: Poverty among Newborn Infants in Established Gateways and New Destinations,Social Forces,27,2015,research-article
Public Social Policy and Casework Services in Public Welfare,Social Work,8,1959,research-article
"Childbirth and cohort effects on mothers' labour supply: a comparative study using life history data for Germany, the Netherlands and Great Britain","Work, Employment & Society",21,2010,research-article
Social Change and Estonian Parents' Time Allocation to Their Children,Journal of Comparative Family Studies,16,2012,research-article
Fifty Years of Family Change: From Consensus to Complexity,The Annals of the American Academy of Political and Social Science,19,2014,research-article
"Readers of the New Social Work Year Book Will Learn, Among Other Things, That...",Social Work Journal,3,1954,research-article
STS SIMULATIONS: ENGAGING STUDENTS WITH ISSUES-BASED SCENARIOS,The Science Teacher,4,2000,research-article
A community-based theory of rebellion,European Journal of Sociology / Archives Européennes de Sociologie / Europäisches Archiv für Soziologie,38,1993,research-article
Citizenship and geographical education,Teaching Geography,3,1998,research-article
"Gossip, Scandal, Shame and Honor Killing: A Case for Social Constructionism and hegemonic Discourse",Social Thought & Research,14,2001,research-article
AS REPORTED,Social Work Journal,2,1949,misc
Lone Fathers in the United States: An Overview and Practice Implications,The British Journal of Social Work,10,1992,research-article
"Creating a Commons in the Capital: The Emergence of Limited-Equity Housing Cooperatives in Washington, D.C.",Washington History,12,2014,research-article
History and the Public,The Georgia Historical Quarterly,10,2011,research-article
Review Article,Journal of the Royal Statistical Society,3,1935,book-review
Urban environmental health — Fitting the pieces together,Waterlines,4,1997,research-article
Ideational and Economic Causes of the Rise in Non-marital Childbearing in the Czech Republic,European Journal of Population / Revue Européenne de Démographie,22,2015,research-article
"Cultural Heritage in the Kibbutz: Values, Assets and Attitudes",Horizons in Geography / אופקים בגאוגרפיה,16,2012,research-article
Listening to Children—Who Cares?,The British Journal of Social Work,8,1984,research-article
The Dublin Guilds and Journeymen's Clubs,Saothar,9,1977,research-article
RESIDENTIAL INSTITUTIONS FOR PERSONS WHO ARE MENTALLY RETARDED: A SECOND LOOK,Special Education and Rehabilitation / חינוך מיוחד ושיקום,11,1986,research-article
"The Children Act: Looking Forward, Looking Back",The British Journal of Social Work,13,1991,research-article
SECTION HIGHLIGHTS,Family Advocate,2,2015,misc
The Search For Stability and Permanence: Modelling the Pathways of Long-stay Looked After Children,The British Journal of Social Work,24,2007,research-article
"Social Process, Space Usage: Reflections on Socialisation in Homes for Children",The British Journal of Social Work,17,1984,research-article
Relegitimation through New Patterns of Social Security: Neighbourhood Communities as Legitimating Institutions,China Review,30,2009,research-article
"POLARISATION, UNDERCLASS AND THE WELFARE STATE","Work, Employment & Society",24,1994,research-article
OCCUPY AT ONE YEAR: Growing the Roots of a Movement,The Sociological Quarterly,8,2013,research-article
China's Southernmost Treaty Port,Journal of the Royal Asiatic Society Hong Kong Branch,14,2012,research-article
Assessing family and child welfare practice,Social Work,8,1979,research-article
Changing Gender Relations and Its Influence on Female Migration Decision in India,The Pakistan Development Review,20,2013,research-article
Review Article,Russian History,3,1989,book-review
"""I Look on You... As My Children"": Persistence and Change in Cherokee Motherhood, 1750—1835",The North Carolina Historical Review,28,2010,research-article
A HISTORICAL REVIEW OF HOUSING CONDITIONS IN HONG KONG,Journal of the Hong Kong Branch of the Royal Asiatic Society,46,1972,research-article
Time for new urban ethnographies,Ethnography,20,2010,research-article
COMPARATIVE ANALYSIS USING LARGE SCALE NATIONAL DATA SOURCES OF WOMEN'S EMPLOYMENT,BMS: Bulletin of Sociological Methodology / Bulletin de Méthodologie Sociologique,23,1996,research-article
WHY CAN'T WE BE FRIENDS: THE ROLE OF RELIGIOUS CONGREGATION-BASED SOCIAL CONTACT FOR CLOSE INTERRACIAL ADOLESCENT FRIENDSHIPS,Review of Religious Research,15,2011,research-article
"Between Law and Custom: Women, Family Law and Marriage in Pakistan",Journal of Comparative Family Studies,21,2012,research-article
Village Groups And Weekly Markets: Defining A New Social Movement,Political and Legal Anthropology Review,14,1998,research-article
תקצירי המאמרים באנגלית / SUMMARIES,Megamot / מגמות,8,1972,misc
Child Personal Safety: Model Program for Prevention of Child Sexual Abuse,Social Work,5,1989,research-article
Social Quality as a Tool for Policy Analysis: The Place of Children in Family Policy,The European Journal of Social Quality,22,2001,research-article
CTBUH News and Events,CTBUH Journal,1,2010,misc
Widowhood and Well-being in Europe: The Role of National and Regional Context,Journal of Marriage and Family,17,2015,research-article
"Social Timing, Life Continuity, and Life Coherence: Implications for Vocational Change",Social Work,9,1995,research-article
"In Quest of an Effective Program of Factory Legislation in Russia: The Years of Preparation, 1859-1880",The Historian,11,1967,research-article
Behind the Myth of Puritan Bangladesh: Pre- and Extra Marital Sexual Reality Among Lower-Class Urban Men,Journal of Comparative Family Studies,16,2015,research-article
Shifting the Plot: Possibilities in Mormon Women's History,Journal of Mormon History,9,2012,research-article
RESISTANCE IN BRITAIN AND CALIFORNIA: HIGH SCHOOL STUDENTS POISED AT THE BRINK OF WORK,Humboldt Journal of Social Relations,28,1985,research-article
Marriage and Family in East Asia: Continuity and Change,Annual Review of Sociology,22,2015,research-article
Introduction: A Code of Many Colors,Administrative Science Quarterly,8,1983,research-article
Why Demographic Suicide? The Puzzles of European Fertility,Population and Development Review,17,2013,research-article
Review Article,The British Journal of Social Work,3,1996,book-review
The Persistence of Inferior Cultural-Institutional Conventions,The American Economic Review,6,2013,research-article
The Authentic Warmth Dimension of Professional Childcare,The British Journal of Social Work,22,2008,research-article
Review Article,Relations Industrielles / Industrial Relations,3,2013,book-review
Review Article,International Review of Education / Internationale Zeitschrift für Erziehungswissenschaft / Revue Internationale de l'Education,3,2015,book-review
"Uncertainty, Pluriactivity, and Neighborhood Exchange in the Rural Hudson Valley in the late Eighteenth Century",New York History,29,1996,research-article
Male-Female Pay Inequity and Public Policy in Canada and the U.S.,Relations Industrielles / Industrial Relations,25,1982,research-article
INRODUCTION OF CATTLE INTO THE PACIFIC NORTHWEST,The Washington Historical Quarterly,23,1923,research-article
AFTERLIVES: Humanitarian Histories and Critical Subjects in Mozambique,Cultural Anthropology,24,2012,research-article
PERCEPTIONS OF WOMEN'S OPPORTUNITIES IN THE FEDERAL REPUBLIC OF GERMANY AND THE UNITED KINGDOM,Mid-American Review of Sociology,15,1992,research-article
John D Williamson,Built Environment (1978-),2,1979,research-article
"AS THE TWIG IS BENT: THE FAMILY AND THE NORTH CAROLINA YEARS OF THOMAS HART BENTON, 1752-1801",The North Carolina Historical Review,32,1949,research-article
"Land tenure, Caste system and the Rājakāriya, under foreign rule : a review of change in Sri Lanka under Western powers, 1597-1832",Journal of the Royal Asiatic Society of Sri Lanka,57,1992,research-article
ON CIVILITY AND RESILIENT GOVERNANCE,Public Administration Quarterly,11,2012,research-article
Emotion in Exchange: Situating Hmong Depressed Mood in Social Context,Ethos,23,2012,research-article
